origin_iata,dest_iata,passengers,departures,year_min,year_max
YYC,YEG,150000,3000,,
YZF,YEG,150000,3000,,
YWK,YZV,125000,2500,,
YZV,YWK,125000,2500,,
YEG,YZF,125000,2500,,
YQB,YUL,100000,2000,,
YUL,YQB,100000,2000,,
YEG,YMM,100000,2000,,
YHZ,YYT,100000,2000,,
YQB,YZV,100000,2000,,
YYT,YHZ,100000,2000,,
YZV,YQB,100000,2000,,
YLW,YVR,75000,1500,,
YVR,YLW,75000,1500,,
FAI,FYU,75000,1500,,
FYU,FAI,75000,1500,,
YFB,YRT,75000,1500,,
YRT,YZF,75000,1500,,
YWG,YRT,75000,1500,,
ANC,ANI,75000,1500,,
ANC,ENA,75000,1500,,
ANI,ANC,75000,1500,,
ENA,ANC,75000,1500,,
YBL,YQQ,75000,1500,,
YQQ,YVR,75000,1500,,
YVR,YBL,75000,1500,,
YVR,YWL,75000,1500,,
YVR,YYJ,75000,1500,,
YWL,YVR,75000,1500,,
YYJ,YVR,75000,1500,,
YEG,YYC,75000,1500,,
YEG,YVR,75000,1500,,
YEG,YWG,75000,1500,,
YMM,YEG,75000,1500,,
YQT,YWG,75000,1500,,
YVR,YEG,75000,1500,,
YVR,YXT,75000,1500,,
YVR,YYC,75000,1500,,
YWG,YEG,75000,1500,,
YWG,YUL,75000,1500,,
YXT,YVR,75000,1500,,
YYC,YVR,75000,1500,,
YKL,YWK,50000,1000,,
YUL,YUY,50000,1000,,
YUY,YUL,50000,1000,,
YWK,YKL,50000,1000,,
YVR,YXY,50000,1000,,
YXY,YVR,50000,1000,,
AKP,FAI,50000,1000,,
FAI,TAL,50000,1000,,
TAL,FAI,50000,1000,,
BET,KWN,50000,1000,,
KWN,BET,50000,1000,,
YEV,YVQ,50000,1000,,
YFB,YGT,50000,1000,,
YGT,YFB,50000,1000,,
YRT,YFB,50000,1000,,
YRT,YYQ,50000,1000,,
YTH,YYQ,50000,1000,,
YVQ,YEV,50000,1000,,
YVQ,YZF,50000,1000,,
YWG,YYQ,50000,1000,,
YYQ,YRT,50000,1000,,
YYQ,YTH,50000,1000,,
YYQ,YWG,50000,1000,,
YZF,YRT,50000,1000,,
YZF,YVQ,50000,1000,,
YFS,YZF,50000,1000,,
YRT,YWG,50000,1000,,
YZF,YFS,50000,1000,,
ADQ,ANC,50000,1000,,
ANC,ADQ,50000,1000,,
ANC,BET,50000,1000,,
ANC,CDV,50000,1000,,
ANC,FAI,50000,1000,,
ANC,HOM,50000,1000,,
ANC,VDZ,50000,1000,,
ANI,HCR,50000,1000,,
BET,ANC,50000,1000,,
CDV,ANC,50000,1000,,
FAI,ANC,50000,1000,,
FAI,GAL,50000,1000,,
FAI,SCC,50000,1000,,
GAM,OME,50000,1000,,
HOM,ANC,50000,1000,,
OBU,OTZ,50000,1000,,
OME,GAM,50000,1000,,
OME,SHH,50000,1000,,
ORV,OTZ,50000,1000,,
OTZ,ORV,50000,1000,,
OTZ,PHO,50000,1000,,
PHO,OTZ,50000,1000,,
SHH,OME,50000,1000,,
VDZ,ANC,50000,1000,,
OME,OTZ,50000,1000,,
OTZ,OME,50000,1000,,
YBL,YVR,50000,1000,,
YQQ,YBL,50000,1000,,
YVR,YQQ,50000,1000,,
YVR,YXC,50000,1000,,
YXC,YVR,50000,1000,,
YKA,YVR,50000,1000,,
YQZ,YVR,50000,1000,,
YQZ,YWL,50000,1000,,
YVR,YKA,50000,1000,,
